Mils, Light_Value, Delay_Value
  998  , 12  , 500
  1999  , 12  , 500
  3000  , 12  , 500
  4001  , 12  , 500
  5003  , 12  , 500
  6004  , 12  , 500
  7005  , 3  , 500
  8006  , 0  , 500
  9007  , 0  , 500
  10008  , 0  , 500
  11010  , 0  , 500
  12010  , 0  , 500
  13011  , 0  , 500
  14013  , 0  , 500
  15014  , 0  , 500
  16015  , 0  , 500
  17016  , 10  , 179
  17377  , 13  , 83
  17544  , 12  , 115
  17776  , 12  , 115
  18009  , 11  , 147
  18305  , 11  , 147
  18600  , 8  , 243
  19088  , 6  , 308
  19705  , 0  , 500
  20707  , 0  , 500
  21707  , 0  , 500
  22709  , 0  , 500
  23710  , 0  , 500
  24712  , 0  , 500
  25712  , 0  , 500
  26714  , 14  , 50
  26815  , 14  , 50
  26916  , 15  , 50
  27018  , 15  , 50
  27118  , 15  , 50
  27219  , 15  , 50
  27321  , 15  , 50
  27422  , 15  , 50
  27524  , 15  , 50
  27624  , 15  , 50
  27725  , 15  , 50
  27827  , 15  , 50
  27928  , 14  , 80
  28089  , 14  , 80
  28251  , 14  , 80
  28411  , 14  , 80
  28573  , 14  , 80
  28734  , 14  , 80
  28895  , 15  , 50
  28996  , 16  , 50
  29097  , 18  , 50
  29199  , 19  , 50
  29300  , 19  , 50
  29402  , 19  , 50
  29502  , 19  , 50
  29603  , 19  , 50
  29705  , 19  , 50
  29806  , 19  , 50
  29907  , 19  , 50
  30009  , 19  , 50
  30109  , 19  , 50
  30211  , 19  , 50
  30312  , 19  , 50
  30413  , 19  , 50
  30515  , 19  , 50
  30616  , 18  , 74
  30765  , 18  , 74
  30914  , 18  , 74
  31064  , 18  , 74
  31212  , 18  , 74
  31362  , 18  , 74
  31511  , 18  , 74
  31660  , 18  , 74
  31809  , 19  , 50
  31910  , 18  , 74
  32060  , 19  , 50
  32160  , 19  , 50
  32262  , 19  , 50
  32363  , 19  , 50
  32464  , 18  , 74
  32614  , 18  , 74
  32762  , 18  , 74
  32912  , 18  , 74
  33061  , 18  , 74
  33210  , 18  , 74
  33359  , 18  , 74
  33509  , 18  , 74
  33658  , 18  , 74
  33807  , 18  , 74
  33956  , 18  , 74
  34106  , 18  , 74
  34254  , 18  , 74
  34404  , 18  , 74
  34553  , 18  , 74
  34703  , 18  , 74
  34851  , 18  , 74
  35001  , 18  , 74
  35150  , 18  , 74
  35299  , 18  , 74
  35448  , 18  , 74
  35598  , 18  , 74
  35746  , 18  , 74
  35896  , 18  , 74
  36045  , 18  , 74
  36195  , 18  , 74
  36343  , 18  , 74
  36493  , 18  , 74
  36642  , 18  , 74
  36791  , 18  , 74
  36940  , 18  , 74
  37090  , 18  , 74
  37238  , 18  , 74
  37388  , 18  , 74
  37537  , 18  , 74
  37687  , 18  , 74
  37835  , 18  , 74
  37985  , 18  , 74
  38134  , 19  , 50
  38236  , 20  , 50
  38336  , 20  , 50
  38437  , 21  , 50
  38539  , 21  , 50
  38640  , 21  , 50
  38742  , 21  , 50
