Mils, PCT
 100 , 0.00 
 200 , 0.01 
 302 , 0.01 
 402 , 0.01 
 502 , 0.01 
 603 , 0.01 
 704 , 0.02 
 804 , 0.02 
 905 , 0.02 
 1006 , 0.02 
 1106 , 0.02 
 1207 , 0.03 
 1308 , 0.03 
 1409 , 0.03 
 1509 , 0.03 
 1610 , 0.03 
 1711 , 0.04 
 1811 , 0.04 
 1912 , 0.04 
 2013 , 0.04 
 2113 , 0.04 
 2214 , 0.05 
 2315 , 0.05 
 2415 , 0.05 
 2516 , 0.05 
 2617 , 0.05 
 2717 , 0.06 
 2819 , 0.06 
 2919 , 0.06 
 3019 , 0.06 
 3121 , 0.06 
 3221 , 0.07 
 3321 , 0.07 
 3423 , 0.07 
 3523 , 0.07 
 3623 , 0.07 
 3725 , 0.08 
 3825 , 0.08 
 3926 , 0.08 
 4027 , 0.08 
 4127 , 0.09 
 4228 , 0.09 
 4329 , 0.09 
 4429 , 0.09 
 4530 , 0.09 
 4631 , 0.10 
 4731 , 0.10 
 4832 , 0.10 
 4933 , 0.10 
 5033 , 0.10 
 5134 , 0.11 
 5235 , 0.11 
 5336 , 0.11 
 5436 , 0.11 
 5537 , 0.11 
 5638 , 0.12 
 5738 , 0.12 
 5839 , 0.12 
 5940 , 0.12 
 6040 , 0.12 
 6141 , 0.13 
 6242 , 0.13 
 6342 , 0.13 
 6444 , 0.13 
 6544 , 0.13 
 6644 , 0.14 
 6746 , 0.14 
 6846 , 0.14 
 6946 , 0.14 
 7048 , 0.14 
 7148 , 0.15 
 7248 , 0.15 
 7350 , 0.15 
 7450 , 0.15 
 7550 , 0.15 
 7652 , 0.16 
 7752 , 0.16 
 7853 , 0.16 
 7954 , 0.16 
 8054 , 0.16 
 8156 , 0.17 
 8256 , 0.17 
 8356 , 0.17 
 8458 , 0.17 
 8558 , 0.17 
 8658 , 0.18 
 8760 , 0.18 
 8860 , 0.18 
 8961 , 0.18 
 9062 , 0.18 
 9162 , 0.19 
 9263 , 0.19 
 9364 , 0.19 
 9464 , 0.19 
 9565 , 0.19 
 9666 , 0.20 
 9766 , 0.20 
 9867 , 0.20 
 9968 , 0.20 
 10068 , 0.20 
 10169 , 0.21 
 10270 , 0.21 
 10371 , 0.21 
 10472 , 0.21 
 10572 , 0.21 
 10673 , 0.22 
 10774 , 0.22 
 10874 , 0.22 
 10975 , 0.22 
 11076 , 0.22 
 11176 , 0.23 
 11278 , 0.23 
 11378 , 0.23 
 11479 , 0.23 
 11580 , 0.23 
 11680 , 0.24 
 11782 , 0.24 
 11882 , 0.24 
 11982 , 0.24 
 12084 , 0.24 
 12184 , 0.25 
 12284 , 0.25 
 12386 , 0.25 
 12486 , 0.25 
 12588 , 0.25 
 12688 , 0.26 
