
Mils, PCT
  0 , 0.06 
  100 , 0.12 
  100 , 0.13 
  200 , 0.20 
  302 , 0.26 
  402 , 0.33 
  502 , 0.39 
  603 , 0.46 
  704 , 0.52 
  804 , 0.59 
  905 , 0.65 
  1006 , 0.71 
  1106 , 0.76 
  1207 , 0.82 
  1308 , 0.88 
  1409 , 0.94 
  1509 , 1.00 
  1610 , 1.05 
  1711 , 1.11 
  1811 , 1.17 
  1912 , 1.23 
  2013 , 1.29 
  2113 , 1.34 
  2214 , 1.40 
  2315 , 1.46 
  2415 , 1.52 
  2516 , 1.58 
  2617 , 1.63 
  2718 , 1.69 
  2819 , 1.75 
  2919 , 1.81 
  3020 , 1.87 
  3121 , 1.92 
  3221 , 1.98 
  3322 , 2.04 
  3423 , 2.10 
  3523 , 2.16 
  3624 , 2.21 
  3725 , 2.27 
  3825 , 2.33 
  3927 , 2.39 
  4027 , 2.45 
  4127 , 2.50 
  4229 , 2.56 
  4329 , 2.62 
  4429 , 2.68 
  4531 , 2.74 
  4631 , 2.79 
  4731 , 2.85 
  4833 , 2.91 
  4933 , 2.97 
  5035 , 3.03 
  5135 , 3.08 
  5235 , 3.14 
  5337 , 3.20 
  5437 , 3.26 
  5537 , 3.32 
  5639 , 3.37 
  5739 , 3.43 
  5839 , 3.49 
  5941 , 3.55 
  6041 , 3.61 
  6141 , 3.66 
  6243 , 3.72 
  6343 , 3.78 
  6444 , 3.84 
  6545 , 3.90 
  6645 , 3.95 
  6746 , 4.01 
  6847 , 4.07 
  6947 , 4.13 
  7049 , 4.19 
  7149 , 4.25 
  7249 , 4.30 
  7351 , 4.36 
  7451 , 4.42 
  7552 , 4.48 
  7653 , 4.54 
  7753 , 4.59 
  7854 , 4.65 
  7955 , 4.71 
  8055 , 4.77 
  8156 , 4.83 
  8257 , 4.88 
  8357 , 4.94 
  8458 , 5.00 
  8559 , 5.06 
  8659 , 5.12 
  8760 , 5.17 
  8861 , 5.23 
  8962 , 5.29 
  9062 , 5.35 
  9163 , 5.41 
